"Industries,
 Prefectures and 21 Major cities",,,,,Number of establishments,,,,Number of persons engaged,Total cash wages and salaries,"Cost of raw materials, fuels and electricity consumed, and subcontracting expenses for consigned production",Value of manufactured goods shipments,Value of production,Value added
11,繊維工業,16,富山県,2019,45,38,6,1,"3,323","11,301","25,343","47,337","39,369","17,921"
11,繊維工業,17,石川県,2019,72,57,13,2,"6,239","24,045","81,214","142,713","136,615","52,739"
11,繊維工業,18,福井県,2019,110,78,30,2,"9,822","34,900","89,351","179,382","176,048","79,941"
11,繊維工業,19,山梨県,2019,9,7,1,1,867,"3,148","10,735","23,104","22,735","11,082"
11,繊維工業,20,長野県,2019,16,12,4,***,"1,206","3,068","7,376","11,519","11,172","3,794"
11,繊維工業,21,岐阜県,2019,44,32,12,***,"3,613","13,638","67,213","96,613","88,903","25,926"
11,繊維工業,22,静岡県,2019,37,29,7,1,"3,147","13,501","46,209","86,697","79,476","33,864"
11,繊維工業,23,愛知県,2019,102,80,20,2,"9,376","38,679","142,758","239,016","227,080","81,432"
11,繊維工業,24,三重県,2019,24,21,3,***,"1,532","5,298","24,181","35,411","35,015","9,829"
11,繊維工業,25,滋賀県,2019,53,37,16,***,"4,811","21,058","103,741","172,641","165,534","60,253"
11,繊維工業,26,京都府,2019,41,37,4,***,"2,316","8,466","17,433","37,366","34,383","17,265"
11,繊維工業,27,大阪府,2019,99,93,5,1,"5,986","22,965","115,783","176,713","127,222","53,906"
11,繊維工業,28,兵庫県,2019,52,41,11,***,"4,199","14,948","56,715","89,840","77,240","28,442"
11,繊維工業,29,奈良県,2019,44,39,5,***,"2,739","8,254","26,524","42,281","36,633","13,955"
11,繊維工業,30,和歌山県,2019,33,30,3,***,"2,139","7,133","23,586","41,265","41,058","15,344"
11,繊維工業,31,鳥取県,2019,21,16,4,1,"2,091","5,063","6,620","14,305","14,310","6,722"
11,繊維工業,32,島根県,2019,20,14,6,***,"1,697","5,078","18,111","28,346","27,264","8,404"
11,繊維工業,33,岡山県,2019,98,78,18,2,"7,651","24,265","103,233","185,356","168,195","73,847"
11,繊維工業,34,広島県,2019,46,38,8,***,"3,388","12,821","60,399","93,890","80,737","30,081"
11,繊維工業,35,山口県,2019,16,12,1,3,"1,954","7,726","34,632","52,127","50,237","11,862"
11,繊維工業,36,徳島県,2019,8,4,4,***,762,"2,626","11,163","15,034","15,312","3,521"
11,繊維工業,37,香川県,2019,23,19,4,***,"1,648","4,904","16,286","30,689","29,887","12,683"
11,繊維工業,38,愛媛県,2019,46,36,9,1,"5,108","21,939","91,659","162,914","157,832","58,181"
11,繊維工業,39,高知県,2019,12,10,2,***,707,"2,325","6,975","11,226","10,988","3,808"
11,繊維工業,40,福岡県,2019,35,29,5,1,"2,580","7,917","22,415","38,388","37,060","13,594"
11,繊維工業,41,佐賀県,2019,20,11,9,***,"1,907","4,983","10,944","21,044","21,088","9,361"
11,繊維工業,42,長崎県,2019,35,26,8,1,"2,893","6,339","11,851","24,719","24,468","11,592"
11,繊維工業,43,熊本県,2019,28,17,10,1,"2,348","6,328","10,962","21,179","20,876","9,285"
11,繊維工業,44,大分県,2019,17,15,1,1,"1,379","3,647","8,087","17,243","15,853","7,873"
11,繊維工業,45,宮崎県,2019,37,27,8,2,"3,451","10,792","25,604","58,924","58,700","30,225"
11,繊維工業,46,鹿児島県,2019,19,15,4,***,"1,411","2,898","5,018","9,853","9,328","4,254"
11,繊維工業,47,沖縄県,2019,6,6,***,***,325,641,588,"1,315","1,276",670
11,繊維工業,61,札幌市,2019,1,1,***,***,30,X,X,X,X,X
11,繊維工業,62,仙台市,2019,2,2,***,***,122,X,X,X,X,X
11,繊維工業,63,さいたま市,2019,4,3,1,***,350,"1,028",685,"2,917","2,906","1,980"
11,繊維工業,64,千葉市,2019,1,1,***,***,40,X,X,X,X,X
11,繊維工業,65,東京特別区,2019,11,10,1,***,513,"1,785","3,070","5,956","4,607","2,534"
11,繊維工業,66,横浜市,2019,1,1,***,***,99,X,X,X,X,X
11,繊維工業,67,川崎市,2019,***,***,***,***,***,***,***,***,***,***
11,繊維工業,68,相模原市,2019,3,2,1,***,199,"1,019","2,561","4,141","3,673","1,440"
11,繊維工業,69,新潟市,2019,3,2,1,***,350,839,"1,748","2,864","2,914","1,077"
11,繊維工業,70,静岡市,2019,***,***,***,***,***,***,***,***,***,***
11,繊維工業,71,浜松市,2019,13,11,2,***,899,"3,258","8,609","15,630","13,228","6,139"
11,繊維工業,72,名古屋市,2019,4,2,2,***,371,"1,496","9,474","13,132","9,018","2,709"
11,繊維工業,73,京都市,2019,22,20,2,***,"1,272","5,106","9,633","20,366","17,670","9,069"
11,繊維工業,74,大阪市,2019,18,17,1,***,"1,018","3,943","47,819","58,127","16,379","9,567"
11,繊維工業,75,堺市,2019,6,5,1,***,338,"1,377","8,218","12,597","12,630","3,836"
11,繊維工業,76,神戸市,2019,1,1,***,***,98,X,X,X,X,X
11,繊維工業,77,岡山市,2019,17,10,7,***,"1,625","4,880","18,559","32,728","31,660","12,207"
11,繊維工業,78,広島市,2019,6,5,1,***,403,"1,543","7,880","12,164","11,284","3,688"
11,繊維工業,79,北九州市,2019,1,1,***,***,32,X,X,X,X,X
11,繊維工業,80,福岡市,2019,2,2,***,***,75,X,X,X,X,X
11,繊維工業,81,熊本市,2019,3,2,1,***,225,571,747,"1,783","1,767",892
12,木材・木製品製造業（家具を除く）,00,全国計,2015,652,564,83,5,"42,316","165,554","1,137,412","1,741,456","1,627,540","514,294"
12,木材・木製品製造業（家具を除く）,00,全国計,2016,612,517,88,7,"42,071","168,726","1,182,781","1,763,002","1,576,970","497,479"
12,木材・木製品製造業（家具を除く）,00,全国計,2017,629,536,87,6,"43,220","174,802","1,246,469","1,832,139","1,632,296","500,293"
12,木材・木製品製造業（家具を除く）,00,全国計,2018,639,542,92,5,"43,507","175,409","1,287,342","1,883,233","1,706,256","524,278"
12,木材・木製品製造業（家具を除く）,00,全国計,2019,627,533,87,7,"43,284","176,013","1,286,515","1,926,747","1,732,919","553,697"
12,木材・木製品製造業（家具を除く）,01,北海道,2019,46,41,5,***,"2,785","10,561","60,629","92,785","73,374","28,386"
12,木材・木製品製造業（家具を除く）,02,青森県,2019,5,5,***,***,218,605,"6,864","8,823","5,830","1,573"
12,木材・木製品製造業（家具を除く）,03,岩手県,2019,20,19,1,***,"1,039","3,468","26,961","39,520","38,708","10,655"
12,木材・木製品製造業（家具を除く）,04,宮城県,2019,15,11,4,***,"1,253","5,390","45,053","65,195","55,293","16,331"
12,木材・木製品製造業（家具を除く）,05,秋田県,2019,20,16,4,***,"1,329","4,837","32,921","52,633","50,981","16,518"
12,木材・木製品製造業（家具を除く）,06,山形県,2019,7,6,1,***,385,"1,376","5,350","8,054","6,694","2,234"
12,木材・木製品製造業（家具を除く）,07,福島県,2019,15,13,2,***,"1,126","3,708","23,934","34,623","34,463","8,751"
12,木材・木製品製造業（家具を除く）,08,茨城県,2019,26,17,7,2,"2,766","11,239","94,857","144,158","130,738","43,236"
12,木材・木製品製造業（家具を除く）,09,栃木県,2019,29,25,4,***,"1,834","7,237","57,172","77,195","69,391","17,337"
12,木材・木製品製造業（家具を除く）,10,群馬県,2019,11,8,3,***,943,"4,340","37,910","51,057","49,810","11,048"
12,木材・木製品製造業（家具を除く）,11,埼玉県,2019,14,12,2,***,842,"3,592","26,616","40,189","37,342","12,177"
12,木材・木製品製造業（家具を除く）,12,千葉県,2019,20,18,2,***,"1,216","4,861","40,719","56,476","52,954","14,890"
12,木材・木製品製造業（家具を除く）,13,東京都,2019,2,2,***,***,99,X,X,X,X,X
12,木材・木製品製造業（家具を除く）,14,神奈川県,2019,4,4,***,***,186,X,X,X,X,X
12,木材・木製品製造業（家具を除く）,15,新潟県,2019,9,7,2,***,624,"2,485","10,069","15,575","13,554","4,519"
12,木材・木製品製造業（家具を除く）,16,富山県,2019,13,12,1,***,810,"3,286","10,300","18,745","17,410","7,313"
12,木材・木製品製造業（家具を除く）,17,石川県,2019,6,5,1,***,432,"1,794","9,587","16,731","14,869","5,783"
12,木材・木製品製造業（家具を除く）,18,福井県,2019,12,9,3,***,"1,084","3,588","27,759","72,968","73,941","42,364"
12,木材・木製品製造業（家具を除く）,19,山梨県,2019,3,3,***,***,214,705,"3,541","4,535","4,349",356
12,木材・木製品製造業（家具を除く）,20,長野県,2019,7,7,***,***,354,"1,340","8,063","11,238","11,063","2,371"
12,木材・木製品製造業（家具を除く）,21,岐阜県,2019,21,18,2,1,"1,563","6,478","27,195","43,766","41,372","14,671"
12,木材・木製品製造業（家具を除く）,22,静岡県,2019,22,17,3,2,"2,188","11,267","119,561","169,699","121,243","43,916"
12,木材・木製品製造業（家具を除く）,23,愛知県,2019,33,29,4,***,"2,158","9,297","64,613","96,749","91,552","27,945"
12,木材・木製品製造業（家具を除く）,24,三重県,2019,11,10,1,***,575,"2,578","45,438","59,117","32,038","11,263"
12,木材・木製品製造業（家具を除く）,25,滋賀県,2019,8,7,1,***,580,"2,294","17,534","24,070","23,418","5,791"
12,木材・木製品製造業（家具を除く）,26,京都府,2019,11,9,2,***,887,"3,845","36,725","48,836","45,065","10,662"
12,木材・木製品製造業（家具を除く）,27,大阪府,2019,22,19,3,***,"1,295","6,380","35,550","54,990","52,329","16,171"
12,木材・木製品製造業（家具を除く）,28,兵庫県,2019,15,13,2,***,876,"3,579","19,577","30,316","24,924","9,197"
12,木材・木製品製造業（家具を除く）,29,奈良県,2019,12,12,***,***,597,"2,267","14,189","20,862","20,684","5,958"
12,木材・木製品製造業（家具を除く）,30,和歌山県,2019,10,10,***,***,574,"2,527","14,068","23,283","20,945","8,053"
12,木材・木製品製造業（家具を除く）,31,鳥取県,2019,5,4,1,***,434,"1,804","12,111","20,112","20,020","6,860"
12,木材・木製品製造業（家具を除く）,32,島根県,2019,6,4,2,***,431,"2,007","18,046","29,907","30,065","9,829"
12,木材・木製品製造業（家具を除く）,33,岡山県,2019,19,15,4,***,"1,291","5,679","48,822","67,993","65,927","16,040"
12,木材・木製品製造業（家具を除く）,34,広島県,2019,27,22,4,1,"2,130","9,232","88,259","136,610","127,586","43,891"
12,木材・木製品製造業（家具を除く）,35,山口県,2019,9,6,3,***,807,"3,373","22,681","30,164","28,498","6,266"
12,木材・木製品製造業（家具を除く）,36,徳島県,2019,8,6,2,***,679,"2,791","18,279","27,775","26,704","7,840"
12,木材・木製品製造業（家具を除く）,37,香川県,2019,10,7,3,***,"1,165","4,890","35,878","53,262","51,675","15,654"
12,木材・木製品製造業（家具を除く）,38,愛媛県,2019,10,8,2,***,648,"2,320","15,819","23,844","23,555","7,035"
12,木材・木製品製造業（家具を除く）,39,高知県,2019,4,4,***,***,171,574,"3,501","4,780","4,354","1,193"
12,木材・木製品製造業（家具を除く）,40,福岡県,2019,20,20,***,***,"1,051","4,127","22,905","33,174","31,354","8,962"
12,木材・木製品製造業（家具を除く）,41,佐賀県,2019,6,5,1,***,406,"1,804","14,350","21,302","20,032","5,013"
12,木材・木製品製造業（家具を除く）,42,長崎県,2019,***,***,***,***,***,***,***,***,***,***
12,木材・木製品製造業（家具を除く）,43,熊本県,2019,19,18,1,***,974,"3,432","15,745","24,848","22,012","7,343"
12,木材・木製品製造業（家具を除く）,44,大分県,2019,6,6,***,***,319,"1,090","6,468","10,369","10,412","4,150"
12,木材・木製品製造業（家具を除く）,45,宮崎県,2019,22,18,3,1,"1,569","5,281","21,895","34,756","32,918","8,351"
12,木材・木製品製造業（家具を除く）,46,鹿児島県,2019,7,6,1,***,377,"1,227","6,537","9,385","8,190","2,538"
12,木材・木製品製造業（家具を除く）,47,沖縄県,2019,***,***,***,***,***,***,***,***,***,***
12,木材・木製品製造業（家具を除く）,61,札幌市,2019,***,***,***,***,***,***,***,***,***,***
12,木材・木製品製造業（家具を除く）,62,仙台市,2019,***,***,***,***,***,***,***,***,***,***
12,木材・木製品製造業（家具を除く）,63,さいたま市,2019,***,***,***,***,***,***,***,***,***,***
12,木材・木製品製造業（家具を除く）,64,千葉市,2019,5,5,***,***,248,"1,201","14,442","19,117","14,565","4,190"
12,木材・木製品製造業（家具を除く）,65,東京特別区,2019,2,2,***,***,99,X,X,X,X,X
12,木材・木製品製造業（家具を除く）,66,横浜市,2019,2,2,***,***,114,X,X,X,X,X
12,木材・木製品製造業（家具を除く）,67,川崎市,2019,***,***,***,***,***,***,***,***,***,***
12,木材・木製品製造業（家具を除く）,68,相模原市,2019,***,***,***,***,***,***,***,***,***,***
12,木材・木製品製造業（家具を除く）,69,新潟市,2019,2,***,2,***,327,X,X,X,X,X
12,木材・木製品製造業（家具を除く）,70,静岡市,2019,3,2,***,1,504,"2,454","9,564","17,673","18,019","7,312"
12,木材・木製品製造業（家具を除く）,71,浜松市,2019,3,3,***,***,125,478,"1,106","1,924","1,793",599
12,木材・木製品製造業（家具を除く）,72,名古屋市,2019,5,4,1,***,345,"1,616","10,252","16,144","16,056","4,972"
12,木材・木製品製造業（家具を除く）,73,京都市,2019,2,2,***,***,128,X,X,X,X,X
12,木材・木製品製造業（家具を除く）,74,大阪市,2019,3,3,***,***,119,497,426,"2,823","2,738","2,182"
12,木材・木製品製造業（家具を除く）,75,堺市,2019,5,4,1,***,336,"1,851","6,913","15,912","13,424","6,845"
12,木材・木製品製造業（家具を除く）,76,神戸市,2019,***,***,***,***,***,***,***,***,***,***
12,木材・木製品製造業（家具を除く）,77,岡山市,2019,5,5,***,***,296,"1,407","11,113","15,022","14,842","3,392"
12,木材・木製品製造業（家具を除く）,78,広島市,2019,1,1,***,***,75,X,X,X,X,X
12,木材・木製品製造業（家具を除く）,79,北九州市,2019,1,1,***,***,91,X,X,X,X,X
12,木材・木製品製造業（家具を除く）,80,福岡市,2019,2,2,***,***,104,X,X,X,X,X
12,木材・木製品製造業（家具を除く）,81,熊本市,2019,3,3,***,***,148,592,"1,029","2,336","1,643","1,179"
13,家具・装備品製造業,00,全国計,2015,568,447,103,18,"50,564","227,393","787,210","1,316,724","1,163,233","461,805"
13,家具・装備品製造業,00,全国計,2016,538,416,100,22,"51,541","228,638","846,943","1,383,363","1,195,001","471,573"
13,家具・装備品製造業,00,全国計,2017,544,417,104,23,"52,319","233,191","849,696","1,385,357","1,215,660","477,373"
13,家具・装備品製造業,00,全国計,2018,549,419,108,22,"51,414","233,355","872,755","1,383,645","1,218,560","455,896"
13,家具・装備品製造業,00,全国計,2019,554,421,112,21,"48,820","204,248","888,717","1,433,097","1,254,031","475,499"
13,家具・装備品製造業,01,北海道,2019,23,22,1,***,"1,334","5,014","8,518","19,540","18,819","9,679"
13,家具・装備品製造業,02,青森県,2019,3,3,***,***,129,515,"1,709","3,280","2,894","1,356"
13,家具・装備品製造業,03,岩手県,2019,2,1,1,***,185,X,X,X,X,X
13,家具・装備品製造業,04,宮城県,2019,4,3,1,***,245,927,"3,160","4,746","4,721","1,339"
13,家具・装備品製造業,05,秋田県,2019,7,6,1,***,503,"1,530","4,067","7,510","7,503","3,067"
13,家具・装備品製造業,06,山形県,2019,12,8,3,1,"1,116","4,083","9,966","18,653","17,529","7,576"
13,家具・装備品製造業,07,福島県,2019,15,9,3,3,"2,068","9,751","31,919","48,978","46,735","14,246"
13,家具・装備品製造業,08,茨城県,2019,21,13,8,***,"1,790","7,485","32,872","54,383","55,950","20,047"
13,家具・装備品製造業,09,栃木県,2019,11,7,4,***,"1,088","5,226","29,287","42,198","41,267","10,984"
13,家具・装備品製造業,10,群馬県,2019,12,8,3,1,"1,327","5,507","19,459","32,151","32,335","11,138"
13,家具・装備品製造業,11,埼玉県,2019,25,20,3,2,"2,172","8,020","75,635","97,308","58,968","17,744"
13,家具・装備品製造業,12,千葉県,2019,11,4,6,1,"1,703","8,664","47,900","85,138","69,650","31,422"
13,家具・装備品製造業,13,東京都,2019,16,14,1,1,"1,729","10,263","67,627","94,363","89,633","27,713"
13,家具・装備品製造業,14,神奈川県,2019,15,8,6,1,"1,792","8,240","35,145","59,500","55,350","19,963"
13,家具・装備品製造業,15,新潟県,2019,21,16,4,1,"1,906","7,433","16,736","28,979","28,253","11,027"
13,家具・装備品製造業,16,富山県,2019,13,10,3,***,950,"4,022","18,304","29,621","29,399","9,490"
13,家具・装備品製造業,17,石川県,2019,8,5,1,2,"2,414","11,822","21,835","56,749","56,731","30,632"
13,家具・装備品製造業,18,福井県,2019,8,7,1,***,566,"2,068","4,798","10,920","10,911","5,396"
13,家具・装備品製造業,19,山梨県,2019,7,7,***,***,365,"1,336","2,494","5,094","4,900","2,308"
13,家具・装備品製造業,20,長野県,2019,6,5,***,1,682,"2,688","6,212","16,959","17,399","10,300"
13,家具・装備品製造業,21,岐阜県,2019,39,27,11,1,"3,552","15,020","38,584","78,275","71,891","35,196"
13,家具・装備品製造業,22,静岡県,2019,28,22,4,2,"2,360","9,928","45,390","77,458","66,561","28,611"
13,家具・装備品製造業,23,愛知県,2019,37,28,8,1,"3,054","12,878","58,611","92,866","85,609","29,063"
13,家具・装備品製造業,24,三重県,2019,15,12,2,1,"1,325","5,422","20,426","34,728","34,192","12,391"
13,家具・装備品製造業,25,滋賀県,2019,18,12,6,***,"1,417","6,072","39,811","58,296","42,611","16,099"
13,家具・装備品製造業,26,京都府,2019,8,7,1,***,402,"1,636","4,633","7,738","7,494","2,719"
